9q4,04	,33.098946
9q4,05	,33.88819
9q4,06	,35.830936
9q4,07	,36.804073
9q4,11	,32.29663
9q4,01	,31.79872
9q4,12	,30.536781
9q4,02	,31.864527
9q4,03	,33.286057
9q4,10	,34.792942
9q4,08	,36.91886
9q4,09	,36.43257
9qb,07	,36.108276
9qb,06	,35.283604
9qb,09	,35.921608
9qb,08	,36.512657
9qb,10	,35.5838
9qb,01	,32.884933
9qb,12	,32.17514
9qb,11	,33.871002
9qb,03	,34.418694
9qb,02	,33.180614
9qb,05	,34.965492
9qb,04	,34.601425
dqd,06	,37.116695
dqd,05	,35.72721
dqd,04	,31.774952
dqd,03	,28.564117
dqd,09	,37.723633
dqd,08	,38.460632
dqd,07	,38.621563
dqd,02	,27.761705
dqd,01	,27.07227
dqd,12	,30.146093
dqd,11	,30.69238
dqd,10	,34.49833
drm,11	,28.847229
drm,10	,33.213806
drm,02	,24.989964
drm,01	,24.579279
drm,12	,27.526447
drm,08	,37.5746
drm,07	,37.890038
drm,09	,36.43946
drm,04	,29.073864
drm,03	,25.530174
drm,06	,35.774105
drm,05	,33.41399
f2r,01	,21.733505
f2r,12	,25.110666
f2r,11	,27.202808
f2r,10	,30.325003
f2r,05	,29.541397
f2r,04	,25.175718
f2r,03	,22.270046
f2r,02	,21.180046
f2r,09	,33.636967
f2r,08	,35.29663
f2r,07	,34.710144
f2r,06	,32.52092
